"Hennrich, Michael",CDU/CSU
"Henrichmann, Marc",CDU/CSU
"Herbrand, Markus",FDP
"Herbst, Torsten",FDP
"Herrmann, Bernhard",Alliance 90/The Greens
"Heselhaus, Nadine",SPD
"Hess, Martin",AfD
"Hessel, Katja",FDP
"Heveling, Ansgar",CDU/CSU
"Hierl, Susanne",CDU/CSU
"Hilse, Karsten",AfD
"Hirte, Christian",CDU/CSU
"Hitschler, Thomas",SPD
"Hocker, Dr. Gero Clemens",FDP
"Höchst, Nicole",AfD
"Höferlin, Manuel",FDP
"Hönel, Bruno",Alliance 90/The Greens
"Hoffmann, Alexander",CDU/CSU
"Hoffmann, Dr. Bettina",Alliance 90/The Greens
"Hoffmann, Dr. Christoph",FDP
"Hofreiter, Dr. Anton",Alliance 90/The Greens
"Holm, Leif-Erik",AfD
"Hoppenstedt, Dr. Hendrik",CDU/CSU
"Hoppermann, Franziska",CDU/CSU
"Hostert, Jasmina",SPD
"Houben, Reinhard",FDP
"Huber, Johannes",AfD
"Hubertz, Verena",SPD
"Hümpfer, Markus",SPD
"Hüppe, Hubert",CDU/CSU
"Hunko, Andrej",The Left Party
"Huy, Gerrit",AfD
"in der Beek, Olaf",FDP
"Irlstorfer, Erich",CDU/CSU
"Jacobi, Fabian",AfD
"Janecek, Dieter",Alliance 90/The Greens
"Janich, Steffen",AfD
"Janssen, Anne",CDU/CSU
"Jarzombek, Thomas",CDU/CSU
"Jensen, Gyde",FDP
"Jongen, Dr. Marc",AfD
"Jung, Andreas",CDU/CSU
"Jung, Ingmar",CDU/CSU
"Junge, Frank",SPD
"Juratovic, Josip",SPD
"Jurisch, Dr. Ann-Veruschka",FDP
"Kaczmarek, Oliver",SPD
"Kaddor, Lamya",Alliance 90/The Greens
"Kaiser, Elisabeth",SPD
"Kappert-Gonther, Dr. Kirsten",Alliance 90/The Greens
"Karaahmetoğlu, Macit",SPD
"Karliczek, Anja",CDU/CSU
"Kasper, Carlos",SPD
"Kassautzki, Anna",SPD
"Katzmarek, Gabriele",SPD
"Kaufmann, Dr. Malte",AfD
"Kaufmann, Prof. Dr. Michael",AfD
"Keller, Rainer Johannes",SPD
"Kellner, Michael",Alliance 90/The Greens
"Kemmer, Ronja",CDU/CSU
"Kersten, Dr. Franziska",SPD
"Keul, Katja",Alliance 90/The Greens
"Keuter, Stefan",AfD
"Khan, Misbah",Alliance 90/The Greens
"Kiesewetter, Roderich",CDU/CSU
"Kießling, Michael",CDU/CSU
"Kindler, Sven-Christian",Alliance 90/The Greens
"Kippels, Dr. Georg",CDU/CSU
"Kipping, Katja",The Left Party
"Kiziltepe, Cansel",SPD
"Kleebank, Helmut",SPD
"Klein, Karsten",FDP
"Klein, Dr. Ottilie",CDU/CSU
"Klein, Volkmar",CDU/CSU
"Klein-Schmeink, Maria",Alliance 90/The Greens
"Kleinwächter, Norbert",AfD
"Klinck, Dr. Kristian",SPD
"Klingbeil, Lars",SPD
"Klöckner, Julia",CDU/CSU
"Klose, Annika",SPD
"Kluckert, Daniela",FDP
"Klüssendorf, Tim",SPD
"Knoerig, Axel",CDU/CSU
"Kober, Pascal",FDP
"Köhler, Dr. Lukas",FDP
"König, Anne",CDU/CSU
"König, Jörn",AfD
"Koeppen, Jens",CDU/CSU
"Körber, Carsten",CDU/CSU
"Kofler, Dr. Bärbel",SPD
"Komning, Enrico",AfD
"Konrad, Carina",FDP
"Koob, Markus",CDU/CSU
"Kopf, Chantal",Alliance 90/The Greens
"Korte, Jan",The Left Party
"Koß, Simona",SPD
"Kotré, Steffen",AfD
"Krämer, Philip",Alliance 90/The Greens
"Kraft, Laura",Alliance 90/The Greens
"Kraft, Dr. Rainer",AfD
"Kramme, Anette",SPD
"Kreiser, Dunja",SPD
"Krichbaum, Gunther",CDU/CSU
"Krings, Dr. Günter",CDU/CSU
"Krischer, Oliver",Alliance 90/The Greens
"Kröber, Martin",SPD
"Kruse, Michael",FDP
"Kuban, Tilman Moritz",CDU/CSU
"Kubicki, Wolfgang",FDP
"Kühn (Tübingen), Christian",Alliance 90/The Greens
"Kühnert, Kevin",SPD
"Künast, Renate",Alliance 90/The Greens
"Kuhle, Konstantin",FDP
"Kurth, Markus",Alliance 90/The Greens
"Lahrkamp, Sarah",SPD
"Lambsdorff, Alexander Graf",FDP
"Lang, Ricarda",Alliance 90/The Greens
"Lange, Ulrich",CDU/CSU
"Larem, Andreas",SPD
"Laschet, Armin",CDU/CSU
"Latendorf, Ina",The Left Party
"Launert, Dr. Silke",CDU/CSU
"Lauterbach, Prof. Dr. Karl",SPD
"Lay, Caren",The Left Party
"Lechte, Ulrich",FDP
"Lehmann, Jens",CDU/CSU
"Lehmann, Sven",Alliance 90/The Greens
"Lehmann, Sylvia",SPD
"Lehrieder, Paul",CDU/CSU
"Leikert, Dr. Katja",CDU/CSU
"Leiser, Kevin",SPD
"Lemke, Steffi",Alliance 90/The Greens
"Lenders, Jürgen",FDP
"Lenk, Barbara",AfD
"Lenkert, Ralph",The Left Party
"Lenz, Dr. Andreas",CDU/CSU
"Leye, Christian",The Left Party
"Licina-Bode, Luiza",SPD
"Lieb, Dr. Thorsten",FDP
"Liebert, Anja",Alliance 90/The Greens
"Limbacher, Esra-Leon",SPD
"Limburg, Helge",Alliance 90/The Greens
"Lindemann, Lars",FDP
"Lindh, Helge",SPD
"Lindholz, Andrea",CDU/CSU
"Lindner, Christian",FDP
"Lindner, Dr. Tobias",Alliance 90/The Greens
"Link, Michael Georg",FDP
"Linnemann, Dr. Carsten",CDU/CSU
"Lips, Patricia",CDU/CSU
"Lötzsch, Dr. Gesine",The Left Party
"Loop, Denise",Alliance 90/The Greens
"Loos, Bernhard",CDU/CSU
"Lucassen, Rüdiger",AfD
"Lucks, Max",Alliance 90/The Greens
"Luczak, Dr. Jan-Marco",CDU/CSU
"Ludwig, Daniela",CDU/CSU
"Lührmann, Dr. Anna",Alliance 90/The Greens
"Lütke, Kristine",FDP
"Lugk, Bettina",SPD
"Luksic, Oliver",FDP
"Lutze, Thomas",The Left Party
"Maas, Heiko",SPD
"Machalet, Dr. Tanja",SPD
"Mack, Klaus",CDU/CSU
"Mackensen-Geis, Isabel",SPD
"Magwas, Yvonne",CDU/CSU
"Malottki, Erik von",SPD
"Mann, Holger",SPD
"Mansmann, Till",FDP
"Mansoori, Kaweh",SPD
"Martens, Zanda",SPD
"Martin, Dorothee",SPD
"Marvi, Parsa",SPD
"Mascheck, Franziska",SPD
"Mast, Katja",SPD
"Mattfeldt, Andreas",CDU/CSU
"Mayer (Altötting), Stephan",CDU/CSU
"Mayer, Zoe",Alliance 90/The Greens
"Mayer-Lay, Volker",CDU/CSU
"Mehltretter, Andreas",SPD
"Mehmet Ali, Takis",SPD
"Meiser, Pascal",The Left Party
"Meister, Dr. Michael",CDU/CSU
"Menge, Susanne",Alliance 90/The Greens
"Merten, Anikó",FDP
"Merz, Friedrich",CDU/CSU
"Mesarosch, Robin",SPD
"Metzler, Jan",CDU/CSU
"Meyer, Christoph",FDP
"Miazga, Corinna",AfD
"Michaelsen, Swantje Henrike",Alliance 90/The Greens
"Michel, Kathrin",SPD
"Middelberg, Dr. Mathias",CDU/CSU
"Miersch, Dr. Matthias",SPD
"Mieves, Matthias David",SPD
"Mihalic, Dr. Irene",Alliance 90/The Greens
"Mijatović, Boris",Alliance 90/The Greens
"Mittag, Susanne",SPD
"Möhring, Cornelia",The Left Party
"Möller, Siemtje",SPD
"Mörseburg, Maximilian",CDU/CSU
"Mohamed Ali, Amira",The Left Party
"Mohrs, Falko",SPD
"Moll, Claudia",SPD
"Moncsek, Mike",AfD
"Monstadt, Dietrich",CDU/CSU
"Moosdorf, Matthias",AfD
"Mordhorst, Maximilian",FDP
"Müller, Alexander",FDP
"Müller, Axel",CDU/CSU
"Müller, Bettina",SPD
"Müller (Braunschweig), Carsten",CDU/CSU
"Müller, Claudia",Alliance 90/The Greens
"Müller (Chemnitz), Detlef",SPD
"Müller, Florian",CDU/CSU
"Müller, Michael",SPD
"Müller, Sascha",Alliance 90/The Greens
"Müller, Sepp",CDU/CSU
"Müller (Erlangen), Stefan",CDU/CSU
"Müller-Gemmeke, Beate",Alliance 90/The Greens
"Müller-Rosentritt, Frank",FDP
"Müntefering, Michelle",SPD
"Münzenmaier, Sebastian",AfD
"Mützenich, Dr. Rolf",SPD
"Nacke, Dr. Stefan",CDU/CSU
"Nanni, Sara",Alliance 90/The Greens
"Nasr, Rasha",SPD
"Nastic, Zaklin",The Left Party
"Naujok, Edgar",AfD
"Nestle, Dr. Ingrid",Alliance 90/The Greens
"Nick, Dr. Ophelia",Alliance 90/The Greens
"Nickholz, Brian",SPD
"Nicolaisen, Petra",CDU/CSU
"Nietan, Dietmar",SPD
"Nolte, Jan Ralf",AfD
"Notz, Dr. Konstantin von",Alliance 90/The Greens
"Nouripour, Omid",Alliance 90/The Greens
"Nürnberger, Jörg",SPD
"Oehl, Lennard",SPD
"Oellers, Wilfried",CDU/CSU
"Özdemir, Cem",Alliance 90/The Greens
"Özdemir (Duisburg), Mahmut",SPD
"Özoğuz, Aydan",SPD
"Oppelt, Moritz",CDU/CSU
"Ortleb, Josephine",SPD
"Oßner, Florian",CDU/CSU
"Oster, Josef",CDU/CSU
"Otte, Henning",CDU/CSU
"Otte, Karoline",Alliance 90/The Greens
"Otten, Gerold",AfD
"Pahlke, Julian",Alliance 90/The Greens
"Pantazis, Dr. Christos",SPD
"Papenbrock, Wiebke",SPD
"Papendieck, Mathias",SPD
"Pau, Petra",The Left Party
"Paus, Lisa",Alliance 90/The Greens
"Pawlik, Natalie",SPD
"Peick, Jens",SPD
"Pellmann, Sören",The Left Party
"Perli, Victor",The Left Party
"Peterka, Tobias Matthias",AfD
"Petry, Christian",SPD
"Philippi, Dr. Andreas",SPD
"Piechotta, Dr. med. Paula",Alliance 90/The Greens
"Pilsinger, Stephan",CDU/CSU
"Plobner, Jan",SPD
"Ploß, Dr. Christoph",CDU/CSU
"Plum, Dr. Martin",CDU/CSU
"Pohl, Jürgen",AfD
"Polat, Filiz",Alliance 90/The Greens
"Poschmann, Sabine",SPD
"Post (Minden), Achim",SPD
"Protschka, Stephan",AfD
"Rachel, Thomas",CDU/CSU
"Radomski, Kerstin",CDU/CSU
"Radwan, Alexander",CDU/CSU
"Raffelhüschen, Claudia",FDP
"Rainer, Alois",CDU/CSU
"Ramsauer, Dr. Peter",CDU/CSU
"Redder, Dr. Volker",FDP
"Rehbaum, Henning",CDU/CSU
"Reichardt, Martin",AfD
"Reichel, Dr. Markus",CDU/CSU
"Reichinnek, Heidi",The Left Party
"Reinalter, Prof. Dr. Anja",Alliance 90/The Greens
"Reinhold, Hagen",FDP
"Renner, Martin Erwin",AfD
"Renner, Martina",The Left Party
"Reuther, Bernd",FDP
"Rhie, Ye-One",SPD
"Rief, Josef",CDU/CSU
"Riexinger, Bernd",The Left Party
"Rimkus, Andreas",SPD
"Rinck, Frank",AfD
"Rix, Sönke",SPD
"Rößner, Tabea",Alliance 90/The Greens
"Röttgen, Dr. Norbert",CDU/CSU
"Röwekamp, Thomas",CDU/CSU
"Rohde, Dennis",SPD
"Rohwer, Lars",CDU/CSU
"Roloff, Sebastian",SPD
"Rosemann, Dr. Martin",SPD
"Rosenthal, Jessica",SPD
"Roth (Augsburg), Claudia",Alliance 90/The Greens
"Roth (Heringen), Michael",SPD
"Rottmann, Dr. Manuela",Alliance 90/The Greens
"Rouenhoff, Stefan",CDU/CSU
"Rudolph, Dr. Thorsten",SPD
"Rudolph, Tina",SPD
"Rüddel, Erwin",CDU/CSU
"Rüffer, Corinna",Alliance 90/The Greens
"Rützel, Bernd",SPD
"Rupprecht, Albert",CDU/CSU
"Ryglewski, Sarah",SPD
"Saathoff, Johann",SPD
"Saleh, Kassem Taher",Alliance 90/The Greens
"Santos Firnhaber, Catarina dos",CDU/CSU
"Sattelberger, Dr. h. c. Thomas",FDP
"Sauter, Christian",FDP
"Schäfer (Bochum), Axel",SPD
"Schäfer, Ingo",SPD
"Schäfer, Jamila",Alliance 90/The Greens
"Schäfer, Dr. Sebastian",Alliance 90/The Greens
"Schäffler, Frank",FDP
"Schätzl, Johannes",SPD
"Schäuble, Dr. Wolfgang",CDU/CSU
"Schamber, Rebecca",SPD
"Schattner, Bernd",AfD
"Schauws, Ulle",Alliance 90/The Greens
"Scheer, Dr. Nina",SPD
"Schenderlein, Dr. Christiane",CDU/CSU
"Scheuer, Andreas",CDU/CSU
"Schieder, Marianne",SPD
"Schiefner, Udo",SPD
"Schielke-Ziesing, Ulrike",AfD
"Schierenbeck, Peggy",SPD
"Schimke, Jana",CDU/CSU
"Schisanowski, Timo",SPD
"Schmid, Christoph",SPD
"Schmid, Dr. Nils",SPD
"Schmidt (Wetzlar), Dagmar",SPD
"Schmidt, Eugen",AfD
"Schmidt, Jan Wenzel",AfD
"Schmidt, Stefan",Alliance 90/The Greens
"Schmidt, Uwe",SPD
"Schneider (Erfurt), Carsten",SPD
"Schneider, Daniel",SPD
"Schneider, Jörg",AfD
"Schnieder, Patrick",CDU/CSU
"Schön, Nadine",CDU/CSU
"Schönberger, Marlene",Alliance 90/The Greens
"Scholz, Olaf",SPD
"Schraps, Johannes",SPD
"Schreider, Christian",SPD
"Schreiner, Felix",CDU/CSU
"Schrodi, Michael",SPD
"Schröder, Christina-Johanne",Alliance 90/The Greens
"Schröder, Ria",FDP
"Schulz, Anja",FDP
"Schulz, Uwe",AfD
"Schulz-Asche, Kordula",Alliance 90/The Greens
"Schulze, Svenja",SPD
"Schwabe, Frank",SPD
"Schwartze, Stefan",SPD
"Schwarz, Andreas",SPD
"Schwarz, Armin",CDU/CSU
"Schwarzelühr-Sutter, Rita",SPD
"Seestern-Pauly, Matthias",FDP
"Seidler, Stefan",Independent
"Seif, Detlef",CDU/CSU
"Seiter, Prof. Dr. Stephan",FDP
"Seitz, Thomas",AfD
"Seitzl, Dr. Lina",SPD
"Sekmen, Melis",Alliance 90/The Greens
"Semet, Rainer",FDP
"Sichert, Martin",AfD
"Silberhorn, Thomas",CDU/CSU
"Simon, Björn",CDU/CSU
"Sitte, Dr. Petra",The Left Party
"Skudelny, Judith",FDP
"Slawik, Nyke",Alliance 90/The Greens
"Sorge, Tino",CDU/CSU
"Spahn, Jens",CDU/CSU
"Spallek, Dr. Anne Monika",Alliance 90/The Greens
"Spaniel, Dr. Dirk",AfD
"Spellerberg, Merle",Alliance 90/The Greens
"Springer, René",AfD
"Stadler, Svenja",SPD
"Staffler, Katrin",CDU/CSU
"Stahr, Nina",Alliance 90/The Greens
"Stamm-Fibich, Martina",SPD
"Stark-Watzinger, Bettina",FDP
"Steffen, Dr. Till",Alliance 90/The Greens
"Stefinger, Dr. Wolfgang",CDU/CSU
"Stegemann, Albert",CDU/CSU
"Stegner, Dr. Ralf",SPD
"Stein, Mathias",SPD
"Steiniger, Johannes",CDU/CSU
"Steinmüller, Hanna",Alliance 90/The Greens
"Stetten, Christian Freiherr von",CDU/CSU
"Sthamer, Nadja",SPD
"Stier, Dieter",CDU/CSU
"Stockmeier, Konrad",FDP
"Stöber, Klaus",AfD
"Stöcker, Diana",CDU/CSU
"Storch, Beatrix von",AfD
"Storjohann, Gero",CDU/CSU
"Strack-Zimmermann, Dr. Marie-Agnes",FDP
"Stracke, Stephan",CDU/CSU
"Strasser, Benjamin",FDP
"Straubinger, Max",CDU/CSU
"Strengmann-Kuhn, Dr. Wolfgang",Alliance 90/The Greens
"Stüwe, Ruppert",SPD
"Stumpp, Christina",CDU/CSU
"Tatti, Jessica",The Left Party
"Tausend, Claudia",SPD
"Tebroke, Dr. Hermann-Josef",CDU/CSU
"Tesfaiesus, Awet",Alliance 90/The Greens
"Teuteberg, Linda",FDP
"Teutrine, Jens",FDP
"Theurer, Michael",FDP
"Thews, Michael",SPD
"Thies, Hans-Jürgen",CDU/CSU
"Thomae, Stephan",FDP
"Throm, Alexander",CDU/CSU
"Tillmann, Antje",CDU/CSU
"Timmermann-Fechter, Astrid",CDU/CSU
"Tippelt, Nico",FDP
"Todtenhausen, Manfred",FDP
"Töns, Markus",SPD
"Toncar, Dr. Florian",FDP
"Träger, Carsten",SPD
"Trittin, Jürgen",Alliance 90/The Greens
"Troff-Schaffarzyk, Anja",SPD
"Türk-Nachbaur, Derya",SPD
"Uhl, Markus",CDU/CSU
"Uhlig, Katrin",Alliance 90/The Greens
"Ullmann, Prof. Dr. Andrew",FDP
"Ullrich, Frank",SPD
"Ullrich, Gerald",FDP
"Ullrich, Dr. Volker",CDU/CSU
"Ulrich, Alexander",The Left Party
"Verlinden, Dr. Julia",Alliance 90/The Greens
"Vieregge, Kerstin",CDU/CSU
"Völlers, Marja-Liisa",SPD
"Vöpel, Dirk",SPD
"Vogel (Olpe), Johannes",FDP
"Vogler, Kathrin",The Left Party
"Vogt, Dr. Oliver",CDU/CSU
"Vries, Christoph de",CDU/CSU
"Wadephul, Dr. Johann David",CDU/CSU
"Wagener, Niklas",Alliance 90/The Greens
"Wagener, Robin",Alliance 90/The Greens
"Wagenknecht, Dr. Sahra",The Left Party
"Wagner, Dr. Carolin",SPD
"Wagner, Johannes",Alliance 90/The Greens
"Wallstein, Maja",SPD
"Walter, Hannes",SPD
"Walter-Rosenheimer, Beate",Alliance 90/The Greens
"Wanderwitz, Marco",CDU/CSU
"Warken, Nina",CDU/CSU
"Weeser, Sandra",FDP
"Wegge, Carmen",SPD
"Wegling, Melanie",SPD
"Weidel, Dr. Alice",AfD
"Weingarten, Dr. Joe",SPD
"Weisgerber, Dr. Anja",CDU/CSU
"Weishaupt, Saskia",Alliance 90/The Greens
"Weiss, Maria-Lena",CDU/CSU
"Weiss (Wesel I), Sabine",CDU/CSU
"Wenzel, Stefan",Alliance 90/The Greens
"Werner, Lena",SPD
"Westig, Nicole",FDP
"Westphal, Bernd",SPD
"Weyel, Prof. Dr. Harald",AfD
"Whittaker, Kai",CDU/CSU
"Widmann-Mauz, Annette",CDU/CSU
"Wiehle, Wolfgang",AfD
"Wiener, Dr. Klaus",CDU/CSU
"Wiese, Dirk",SPD
"Willsch, Klaus-Peter",CDU/CSU
"Winkelmeier-Becker, Elisabeth",CDU/CSU
"Winkler, Tobias",CDU/CSU
"Winklmann, Tina",Alliance 90/The Greens
"Wirth, Dr. Christian",AfD
"Wissing, Dr. Volker",FDP
"Wissler, Janine",The Left Party
"Witt, Uwe",AfD
"Wittmann, Mechthilde",CDU/CSU
"Wollmann, Dr. Herbert",SPD
"Wulf, Mareike Lotte",CDU/CSU
"Wundrak, Joachim",AfD
"Yüksel, Gülistan",SPD
"Zeulner, Emmi",CDU/CSU
"Ziegler, Kay-Uwe",AfD
"Ziemiak, Paul",CDU/CSU
"Zierke, Stefan",SPD
"Zimmermann, Dr. Jens",SPD
"Zippelius, Nicolas",CDU/CSU
"Zorn, Armand",SPD
"Zschau, Katrin",SPD
